4006,2030,2823,764,3150,673
4006,2030,2823,764,3150,673
4006,2030,2823,764,3150,673
4013,2128,2824,889,3156,673
4012,2200,2825,1515,3155,672
4012,2089,2825,2450,3156,672
4014,2028,2825,2815,3155,673
313,2030,2825,2891,3155,673
415,2030,2825,2891,3155,673
848,2015,2825,2891,3155,673
1283,2016,2825,2894,3155,673
1431,1935,2826,2894,3155,673
1441,1934,2825,2894,3155,673
1599,1934,2825,2895,3155,673
833,1934,2825,2895,3155,673
649,1894,2825,2895,3155,673
537,2041,2823,2895,3155,673
3953,2028,2824,2895,3155,673
3879,1992,2824,2895,3155,673
3435,1958,2824,2895,3155,673
3548,1903,2825,2895,3155,673
3996,2106,2823,2894,3155,673
257,2031,2825,2894,3155,673
256,2031,2825,2894,3155,673
255,2031,2823,2891,3151,673
256,2032,2432,2884,3156,673
263,2033,1580,2769,3156,673
264,2031,718,2770,3156,673
256,2233,1197,2770,3155,673
262,2031,2196,2769,3155,673
259,2038,2825,2569,3155,673
255,2110,2827,2572,3149,673
256,2120,2825,2926,3148,673
264,2068,2826,2593,3148,673
254,2035,2825,2963,3055,674
255,2031,2823,2838,3123,674
257,2030,2824,2019,3123,674
256,2031,2824,1328,3123,674
256,2031,2824,762,3124,674
257,2038,2824,776,3123,674
255,2039,2825,993,3121,674
254,2031,2825,1773,3121,673
254,2031,2824,2767,3123,673
256,2030,2824,2965,3127,674
263,2038,2731,2976,3123,674
261,2032,2300,2977,3128,674
256,2031,1928,3250,3122,674
254,2031,2372,3250,3129,674
254,2030,2451,3250,3127,674
254,2030,1955,3250,3124,674
264,2031,1319,3250,3129,674
266,2031,715,3250,3130,674
259,2030,637,3250,3130,674
262,2046,1176,3250,3124,674
261,2030,1752,3250,3127,674
255,2033,1759,3250,3128,674
255,2431,1761,3250,3128,674
264,2886,1921,3250,3127,674
263,3130,2218,3249,3124,674
256,3457,2319,2951,3123,674
256,3425,2211,3010,3123,674
255,3273,2354,2947,3124,674
254,3183,2445,2935,3124,673
262,2950,2570,2748,3122,673
263,2913,2570,2908,3127,673
264,2709,2551,2907,3322,673
264,2578,2827,2294,3084,673
258,2620,2820,2267,3089,673
258,2620,2820,2267,3089,673
258,2620,2820,2267,3089,673
258,2620,2820,2267,3089,673
256,2631,2821,2140,3091,666
262,2619,2812,2181,3091,666
263,2901,2579,2141,3092,667
256,3550,2428,1393,3092,667
256,3901,1934,1240,3092,667
256,3947,1837,1264,3091,673
257,3947,1836,1264,3091,673
260,15,1334,1264,3091,673
262,393,640,1232,3091,673
264,393,732,765,3090,673
260,392,735,766,3090,673
256,391,737,766,3090,673
265,390,738,1017,3090,673
265,391,728,1813,3091,673
265,391,728,1799,3090,673
265,393,720,1318,3084,673
264,386,758,1067,3088,673
263,3992,1808,1067,3088,673
264,3598,2706,1067,3088,673
264,2991,2824,1067,3088,673
256,2429,2822,1067,3089,673
256,2031,2823,1058,3089,673
256,2032,2823,764,3083,673
260,2031,2824,1282,2860,673
260,2031,2825,2071,2947,668
256,2031,2824,2967,3013,673
256,2031,2824,2957,3013,673
256,2031,2824,2958,3013,673
256,2044,2375,2947,3006,673
262,2711,1475,2730,3013,673
263,3102,1052,2084,3013,673
263,3020,919,2072,3013,673
260,3221,1105,2072,3013,673
254,3333,1810,2063,3013,673
255,3338,2247,2062,3013,673
255,3333,2249,2063,3013,673
255,3749,2164,1263,3006,673
255,3835,2164,1102,3013,673
255,3935,2123,891,3013,673
257,160,1159,892,3013,673
265,394,724,891,3012,673
265,393,725,924,3012,673
256,393,724,1765,3013,670
257,393,715,1799,3013,672
261,393,715,1799,3012,673
264,393,715,1799,3013,673
264,3770,1668,1808,3013,673
257,2907,2492,1808,3013,673
256,2185,2814,1808,3013,673
257,2029,2824,1808,3012,673
260,2031,2824,1809,3462,673
255,2031,2823,1808,655,672
255,2030,2824,1808,1499,673
255,2028,2825,1809,1197,674
255,2031,2825,1809,3736,668
260,2031,2825,1810,2812,668
263,2031,2824,1968,3403,673
255,2029,2825,2883,3044,673
264,2030,2754,2502,3031,673
264,2030,2814,1348,3031,673
265,2030,2824,762,3032,668
261,2033,2825,769,3023,673
255,2064,2825,1420,3022,669
256,2065,2824,1691,3029,673
261,2029,2828,2163,3030,670
256,2030,2828,2956,3030,673
256,2032,2827,2955,3034,673
257,2028,2828,2961,3083,673
256,2029,2828,2955,3060,673
256,2031,2791,2645,3059,671
266,2037,2825,2645,3055,673
710,2037,2825,2645,3062,673
1413,2037,2826,2646,3061,673
1603,2027,2826,2646,3061,673
1526,2056,2826,2949,3062,673
1090,2055,2826,2946,3062,673
181,2054,2826,2946,3060,673
3680,2047,2826,2946,3056,673
3058,2052,2826,2946,3056,673
3145,2044,2826,2946,3059,673
3969,2043,2826,2946,3059,673
391,2044,2826,2946,3059,673
390,2044,2826,2946,3059,673
388,2044,2826,2946,3059,673
388,2044,2826,2946,3059,673
388,2044,2826,2946,3059,673
388,2044,2826,2946,3059,673
